Country,Totals,Year,TIV
Albania,0,2011,0
Algeria,12,1968,6
Algeria,12,1980,6
Algeria,12,2016,0
Angola,13,1979,3
Angola,13,1980,0
Angola,13,1992,8
Angola,13,2002,2
Argentina,112,1962,6
Argentina,112,1964,4
Argentina,112,1967,0
Argentina,112,1968,8
Argentina,112,1970,0
Argentina,112,1972,11
Argentina,112,1976,1
Argentina,112,1979,8
Argentina,112,1980,1
Argentina,112,1981,27
Argentina,112,1982,3
Argentina,112,1983,1
Argentina,112,1987,4
Argentina,112,1988,1
Argentina,112,1990,6
Argentina,112,1991,0
Argentina,112,1993,13
Argentina,112,1994,5
Argentina,112,1995,5
Argentina,112,2000,2
Argentina,112,2002,2
Argentina,112,2006,2
Argentina,112,2011,1
Armenia,4,2006,4
Aruba,18,1996,18
Australia,3395,1952,36
Australia,3395,1955,125
Australia,3395,1961,2
Australia,3395,1962,4
Australia,3395,1969,26
Australia,3395,1970,17
Australia,3395,1971,36
Australia,3395,1972,6
Australia,3395,1973,72
Australia,3395,1974,92
Australia,3395,1975,131
Australia,3395,1976,113
Australia,3395,1977,62
Australia,3395,1978,21
Australia,3395,1979,22
Australia,3395,1980,15
Australia,3395,1981,15
Australia,3395,1982,24
Australia,3395,1983,31
Australia,3395,1984,62
Australia,3395,1985,10
Australia,3395,1986,57
Australia,3395,1987,89
Australia,3395,1988,18
Australia,3395,1989,18
Australia,3395,1990,168
Australia,3395,1991,90
Australia,3395,1993,30
Australia,3395,1994,36
Australia,3395,1995,36
Australia,3395,1996,16
Australia,3395,1997,20
Australia,3395,1998,4
Australia,3395,2001,43
Australia,3395,2002,47
Australia,3395,2003,44
Australia,3395,2004,2
Australia,3395,2005,49
Australia,3395,2006,23
Australia,3395,2007,52
Australia,3395,2008,51
Australia,3395,2009,80
Australia,3395,2010,115
Australia,3395,2011,143
Australia,3395,2012,45
Australia,3395,2013,54
Australia,3395,2014,97
Australia,3395,2015,87
Australia,3395,2016,134
Australia,3395,2017,98
Australia,3395,2018,38
Australia,3395,2019,104
Australia,3395,2020,413
Australia,3395,2021,173
Austria,1598,1964,0
Austria,1598,1965,0
Austria,1598,1966,1
Austria,1598,1967,1
Austria,1598,1968,1
Austria,1598,1969,1
Austria,1598,1970,1
Austria,1598,1971,1
Austria,1598,1972,1
Austria,1598,1973,1
Austria,1598,1974,0
Austria,1598,1975,0
Austria,1598,1978,37
Austria,1598,1979,126
Austria,1598,1980,54
Austria,1598,1981,70
Austria,1598,1982,60
Austria,1598,1983,56
Austria,1598,1984,58
Austria,1598,1985,248
Austria,1598,1986,40
Austria,1598,1987,30
Austria,1598,1988,12
Austria,1598,1989,12
Austria,1598,1990,30
Austria,1598,1991,20
Austria,1598,1992,20
Austria,1598,1993,10
Austria,1598,1994,17
Austria,1598,1996,18
