Type,Total,Year,TIV
Aircraft,949130,1950,5323
Aircraft,949130,1951,6715
Aircraft,949130,1952,11647
Aircraft,949130,1953,15553
Aircraft,949130,1954,12882
Aircraft,949130,1955,12582
Aircraft,949130,1956,14043
Aircraft,949130,1957,13724
Aircraft,949130,1958,15999
Aircraft,949130,1959,10358
Aircraft,949130,1960,7371
Aircraft,949130,1961,7487
Aircraft,949130,1962,7998
Aircraft,949130,1963,11198
Aircraft,949130,1964,14600
Aircraft,949130,1965,13006
Aircraft,949130,1966,11925
Aircraft,949130,1967,12360
Aircraft,949130,1968,12607
Aircraft,949130,1969,14252
Aircraft,949130,1970,11863
Aircraft,949130,1971,17049
Aircraft,949130,1972,17189
Aircraft,949130,1973,17070
Aircraft,949130,1974,18397
Aircraft,949130,1975,19134
Aircraft,949130,1976,17070
Aircraft,949130,1977,16947
Aircraft,949130,1978,18068
Aircraft,949130,1979,17363
Aircraft,949130,1980,19693
Aircraft,949130,1981,20979
Aircraft,949130,1982,21274
Aircraft,949130,1983,20366
Aircraft,949130,1984,18317
Aircraft,949130,1985,17617
Aircraft,949130,1986,18045
Aircraft,949130,1987,17997
Aircraft,949130,1988,15656
Aircraft,949130,1989,17376
Aircraft,949130,1990,15367
Aircraft,949130,1991,12853
Aircraft,949130,1992,11947
Aircraft,949130,1993,10496
Aircraft,949130,1994,7379
Aircraft,949130,1995,9192
Aircraft,949130,1996,8702
Aircraft,949130,1997,14238
Aircraft,949130,1998,14523
Aircraft,949130,1999,11242
Aircraft,949130,2000,8196
Aircraft,949130,2001,9249
Aircraft,949130,2002,8103
Aircraft,949130,2003,9070
Aircraft,949130,2004,10509
Aircraft,949130,2005,8092
Aircraft,949130,2006,9458
Aircraft,949130,2007,11644
Aircraft,949130,2008,9765
Aircraft,949130,2009,9896
Aircraft,949130,2010,11889
Aircraft,949130,2011,15250
Aircraft,949130,2012,11680
Aircraft,949130,2013,10591
Aircraft,949130,2014,11419
Aircraft,949130,2015,12798
Aircraft,949130,2016,12328
Aircraft,949130,2017,14043
Aircraft,949130,2018,11764
Aircraft,949130,2019,14010
Aircraft,949130,2020,11231
Aircraft,949130,2021,13104
Air defence systems,122664,1952,42
Air defence systems,122664,1953,42
Air defence systems,122664,1954,56
Air defence systems,122664,1955,197
Air defence systems,122664,1956,358
Air defence systems,122664,1957,480
Air defence systems,122664,1958,605
Air defence systems,122664,1959,1300
Air defence systems,122664,1960,1523
Air defence systems,122664,1961,1229
Air defence systems,122664,1962,1335
Air defence systems,122664,1963,1345
Air defence systems,122664,1964,2217
Air defence systems,122664,1965,2264
Air defence systems,122664,1966,1868
Air defence systems,122664,1967,1383
Air defence systems,122664,1968,1344
Air defence systems,122664,1969,2031
Air defence systems,122664,1970,2032
Air defence systems,122664,1971,2893
Air defence systems,122664,1972,2915
Air defence systems,122664,1973,3716
Air defence systems,122664,1974,3166
Air defence systems,122664,1975,3531
Air defence systems,122664,1976,4497
Air defence systems,122664,1977,6405
Air defence systems,122664,1978,6205
Air defence systems,122664,1979,4502
Air defence systems,122664,1980,4125
Air defence systems,122664,1981,3420
Air defence systems,122664,1982,3313
Air defence systems,122664,1983,2778
Air defence systems,122664,1984,2350
Air defence systems,122664,1985,3071
Air defence systems,122664,1986,2325
Air defence systems,122664,1987,3206
Air defence systems,122664,1988,3040
Air defence systems,122664,1989,2772
Air defence systems,122664,1990,1550
Air defence systems,122664,1991,1377
Air defence systems,122664,1992,548
Air defence systems,122664,1993,895
Air defence systems,122664,1994,686
Air defence systems,122664,1995,621
Air defence systems,122664,1996,724
Air defence systems,122664,1997,754
Air defence systems,122664,1998,773
Air defence systems,122664,1999,951
Air defence systems,122664,2000,826
Air defence systems,122664,2001,651
Air defence systems,122664,2002,653
Air defence systems,122664,2003,510
Air defence systems,122664,2004,516
Air defence systems,122664,2005,871
Air defence systems,122664,2006,935
Air defence systems,122664,2007,870
Air defence systems,122664,2008,1271
Air defence systems,122664,2009,1136
Air defence systems,122664,2010,1081
Air defence systems,122664,2011,1285
Air defence systems,122664,2012,1143
Air defence systems,122664,2013,1554
Air defence systems,122664,2014,1257
Air defence systems,122664,2015,1992
Air defence systems,122664,2016,2500
Air defence systems,122664,2017,1835
Air defence systems,122664,2018,1388
Air defence systems,122664,2019,819
Air defence systems,122664,2020,343
Air defence systems,122664,2021,471
Armoured vehicles,279962,1950,1024
Armoured vehicles,279962,1951,993
Armoured vehicles,279962,1952,2419
Armoured vehicles,279962,1953,3980
Armoured vehicles,279962,1954,2881
Armoured vehicles,279962,1955,2358
Armoured vehicles,279962,1956,4053
Armoured vehicles,279962,1957,3890
Armoured vehicles,279962,1958,3179
Armoured vehicles,279962,1959,3212
Armoured vehicles,279962,1960,3337
Armoured vehicles,279962,1961,3021
Armoured vehicles,279962,1962,3145
Armoured vehicles,279962,1963,3128
Armoured vehicles,279962,1964,3263
Armoured vehicles,279962,1965,3830
Armoured vehicles,279962,1966,3387
Armoured vehicles,279962,1967,3716
Armoured vehicles,279962,1968,3928
Armoured vehicles,279962,1969,4653
Armoured vehicles,279962,1970,5165
Armoured vehicles,279962,1971,5506
Armoured vehicles,279962,1972,5861
Armoured vehicles,279962,1973,6025
Armoured vehicles,279962,1974,6667
Armoured vehicles,279962,1975,5052
Armoured vehicles,279962,1976,4283
Armoured vehicles,279962,1977,6759
Armoured vehicles,279962,1978,8029
Armoured vehicles,279962,1979,6454
Armoured vehicles,279962,1980,5166
Armoured vehicles,279962,1981,6504
Armoured vehicles,279962,1982,7042
Armoured vehicles,279962,1983,6954
Armoured vehicles,279962,1984,7185
Armoured vehicles,279962,1985,5736
Armoured vehicles,279962,1986,5923
Armoured vehicles,279962,1987,5470
Armoured vehicles,279962,1988,4638
Armoured vehicles,279962,1989,3554
Armoured vehicles,279962,1990,3394
Armoured vehicles,279962,1991,3683
Armoured vehicles,279962,1992,3296
Armoured vehicles,279962,1993,5286
Armoured vehicles,279962,1994,3972
Armoured vehicles,279962,1995,3658
Armoured vehicles,279962,1996,3760
Armoured vehicles,279962,1997,3541
Armoured vehicles,279962,1998,2732
Armoured vehicles,279962,1999,2946
Armoured vehicles,279962,2000,2041
Armoured vehicles,279962,2001,1731
Armoured vehicles,279962,2002,2059
Armoured vehicles,279962,2003,1998
Armoured vehicles,279962,2004,1978
Armoured vehicles,279962,2005,2029
Armoured vehicles,279962,2006,3092
Armoured vehicles,279962,2007,3650
Armoured vehicles,279962,2008,3264
Armoured vehicles,279962,2009,3443
Armoured vehicles,279962,2010,3912
Armoured vehicles,279962,2011,3604
Armoured vehicles,279962,2012,3590
Armoured vehicles,279962,2013,2746
Armoured vehicles,279962,2014,2907
Armoured vehicles,279962,2015,2650
Armoured vehicles,279962,2016,3903
Armoured vehicles,279962,2017,3133
Armoured vehicles,279962,2018,3003
Armoured vehicles,279962,2019,2628
Armoured vehicles,279962,2020,2436
Armoured vehicles,279962,2021,2526
Artillery,49760,1950,337
Artillery,49760,1951,556
Artillery,49760,1952,674
Artillery,49760,1953,740
Artillery,49760,1954,572
Artillery,49760,1955,810
Artillery,49760,1956,988
Artillery,49760,1957,782
Artillery,49760,1958,741
Artillery,49760,1959,648
Artillery,49760,1960,565
Artillery,49760,1961,732
Artillery,49760,1962,632
Artillery,49760,1963,593
Artillery,49760,1964,612
Artillery,49760,1965,707
Artillery,49760,1966,1200
Artillery,49760,1967,978
Artillery,49760,1968,1227
Artillery,49760,1969,949
Artillery,49760,1970,932
Artillery,49760,1971,1008
Artillery,49760,1972,892
Artillery,49760,1973,937
Artillery,49760,1974,826
Artillery,49760,1975,976
Artillery,49760,1976,874
Artillery,49760,1977,739
Artillery,49760,1978,562
Artillery,49760,1979,491
Artillery,49760,1980,722
Artillery,49760,1981,1022
Artillery,49760,1982,1297
Artillery,49760,1983,1541
Artillery,49760,1984,1430
Artillery,49760,1985,1549
Artillery,49760,1986,981
Artillery,49760,1987,1121
Artillery,49760,1988,1147
Artillery,49760,1989,893
Artillery,49760,1990,543
Artillery,49760,1991,856
Artillery,49760,1992,786
Artillery,49760,1993,370
Artillery,49760,1994,632
Artillery,49760,1995,468
Artillery,49760,1996,558
Artillery,49760,1997,604
Artillery,49760,1998,420
Artillery,49760,1999,345
Artillery,49760,2000,331
Artillery,49760,2001,136
Artillery,49760,2002,195
Artillery,49760,2003,180
Artillery,49760,2004,424
Artillery,49760,2005,459
Artillery,49760,2006,497
Artillery,49760,2007,592
Artillery,49760,2008,555
Artillery,49760,2009,588
Artillery,49760,2010,776
Artillery,49760,2011,719
Artillery,49760,2012,627
Artillery,49760,2013,461
Artillery,49760,2014,267
Artillery,49760,2015,302
Artillery,49760,2016,295
Artillery,49760,2017,217
Artillery,49760,2018,367
Artillery,49760,2019,437
Artillery,49760,2020,496
Artillery,49760,2021,275
Engines,62197,1950,468
Engines,62197,1951,773
Engines,62197,1952,818
Engines,62197,1953,1141
Engines,62197,1954,1003
Engines,62197,1955,1096
Engines,62197,1956,1511
Engines,62197,1957,1364
Engines,62197,1958,1196
Engines,62197,1959,942
Engines,62197,1960,501
Engines,62197,1961,287
Engines,62197,1962,292
Engines,62197,1963,431
Engines,62197,1964,423
Engines,62197,1965,359
Engines,62197,1966,489
Engines,62197,1967,447
Engines,62197,1968,459
Engines,62197,1969,427
Engines,62197,1970,499
Engines,62197,1971,775
Engines,62197,1972,1058
Engines,62197,1973,823
Engines,62197,1974,796
Engines,62197,1975,891
Engines,62197,1976,819
Engines,62197,1977,737
Engines,62197,1978,818
Engines,62197,1979,741
Engines,62197,1980,765
Engines,62197,1981,821
Engines,62197,1982,855
Engines,62197,1983,809
Engines,62197,1984,749
Engines,62197,1985,673
Engines,62197,1986,735
Engines,62197,1987,598
Engines,62197,1988,736
Engines,62197,1989,852
Engines,62197,1990,767
Engines,62197,1991,678
Engines,62197,1992,601
Engines,62197,1993,661
Engines,62197,1994,632
Engines,62197,1995,658
Engines,62197,1996,697
Engines,62197,1997,594
Engines,62197,1998,556
Engines,62197,1999,599
Engines,62197,2000,561
Engines,62197,2001,599
Engines,62197,2002,584
Engines,62197,2003,722
Engines,62197,2004,966
Engines,62197,2005,779
Engines,62197,2006,677
Engines,62197,2007,792
Engines,62197,2008,995
Engines,62197,2009,977
Engines,62197,2010,1114
Engines,62197,2011,1168
Engines,62197,2012,1346
Engines,62197,2013,1462
Engines,62197,2014,1484
Engines,62197,2015,1561
Engines,62197,2016,1597
Engines,62197,2017,1430
Engines,62197,2018,1738
Engines,62197,2019,1991
Engines,62197,2020,1669
Engines,62197,2021,1564
Missiles,188851,1955,57
Missiles,188851,1956,55
Missiles,188851,1957,49
Missiles,188851,1958,704
Missiles,188851,1959,1105
Missiles,188851,1960,768
Missiles,188851,1961,870
Missiles,188851,1962,1183
Missiles,188851,1963,1319
Missiles,188851,1964,1633
Missiles,188851,1965,1633
Missiles,188851,1966,1575
Missiles,188851,1967,1421
Missiles,188851,1968,2090
Missiles,188851,1969,2074
Missiles,188851,1970,1392
Missiles,188851,1971,1507
Missiles,188851,1972,2168
Missiles,188851,1973,2709
Missiles,188851,1974,2862
Missiles,188851,1975,2958
Missiles,188851,1976,2988
Missiles,188851,1977,3349
Missiles,188851,1978,3830
Missiles,188851,1979,3330
Missiles,188851,1980,3847
Missiles,188851,1981,4312
Missiles,188851,1982,4584
Missiles,188851,1983,4019
Missiles,188851,1984,3888
Missiles,188851,1985,4378
Missiles,188851,1986,4759
Missiles,188851,1987,4970
Missiles,188851,1988,4823
Missiles,188851,1989,4489
Missiles,188851,1990,4230
Missiles,188851,1991,3816
Missiles,188851,1992,2242
Missiles,188851,1993,3355
Missiles,188851,1994,2881
Missiles,188851,1995,2857
Missiles,188851,1996,2964
Missiles,188851,1997,2838
Missiles,188851,1998,3904
Missiles,188851,1999,3024
Missiles,188851,2000,2545
Missiles,188851,2001,2092
Missiles,188851,2002,2427
Missiles,188851,2003,2057
Missiles,188851,2004,2404
Missiles,188851,2005,2569
Missiles,188851,2006,3189
Missiles,188851,2007,3119
Missiles,188851,2008,3221
Missiles,188851,2009,3017
Missiles,188851,2010,2661
Missiles,188851,2011,3015
Missiles,188851,2012,3459
